No;Y;X1;X2
1;0.599835478;0.907269727;-0.420549214
2;-0.378418725;0.341130544;0.940015932
3;-2.278331523;-0.326250986;0.945283182
4;-1.015298207;0.474396746;0.880311154
5;-0.905450777;0.079497172;0.996835091
6;-1.509689163;0.111799458;0.993730789
7;0.645435041;0.87566333;-0.482922076
8;0.235634269;0.976789129;-0.214203171
9;0.756888131;0.834210993;-0.551445392
10;-0.095575644;0.951657842;0.30716014
11;1.013974039;0.917361418;-0.398055308
12;0.510677052;0.759357008;-0.650674215
13;0.590859365;0.94763379;-0.319359045
14;-0.84493695;0.476190048;0.87934239
15;0.659118881;0.983923125;-0.178592508
16;1.277511482;0.851081411;-0.525033744
17;-0.155077509;0.737349279;0.675511688
18;-1.080937821;-0.228859992;0.973459349
19;-0.168871594;0.88223949;0.470800895
20;-1.210921414;0.534730424;0.845022706
21;-0.766405347;0.746349889;0.665553786
22;-0.56330458;0.499809372;0.866135435
23;-2.139197625;-0.296936738;0.954897153
24;-0.993752163;0.327882756;0.944718423
25;0.369473574;0.997660641;0.068361143
26;-0.659567648;0.404233216;0.91465595
27;0.464451981;0.876813389;-0.480830823
28;-1.280249114;0.126996585;0.991903154
29;0.001633285;0.698579476;0.71553247
30;0.983865551;0.984153634;-0.177317865
31;-0.38620084;0.237364541;0.971420648
32;-0.288791036;0.987102536;-0.1600893
33;-0.201807696;0.999988697;0.004754623
34;-0.898131605;0.07019765;0.997533102
35;-0.113688733;0.998320016;0.057940877
36;0.955764778;0.890848809;-0.454299901
37;1.535709723;0.877854039;-0.478928268
38;0.579670764;0.971855871;-0.235576242
39;0.515677361;0.99791773;0.064499642
40;0.762657207;0.888900405;-0.458100502
41;-0.712559347;0.428269514;0.903651052
42;-0.09791838;0.982532752;0.186089738
43;1.77139396;0.798077592;-0.602554693
44;0.48691039;0.999511365;0.031257498
45;-1.597493103;0.156784835;0.987632784
46;0.788559026;0.944089826;-0.329688338
47;1.159342083;0.724252859;-0.689534478
48;-2.733829491;0.007908614;0.999968726
49;1.088498909;0.93411762;-0.356965365
50;1.812935288;0.768575177;-0.639759484
51;-0.549119102;0.225307842;0.974287625
52;-0.920361935;0.262042667;0.965056289
53;0.086910123;0.963691719;-0.267017359
54;-1.299473733;0.187622438;0.982241223
55;-0.797898856;0.456974431;0.889479831
56;-0.658491462;0.708500157;0.705710655
57;0.357179497;0.997799581;-0.066302304
58;0.564428857;0.937930831;-0.346822371
59;0.661013876;0.961662263;-0.274236562
60;-1.341058794;0.330287161;0.943880496
61;-0.640835056;0.545250788;0.838272974
62;0.215324675;0.952388824;-0.30488609
63;-0.373049992;0.628263865;0.778000332
64;1.538434274;0.814687674;-0.579899987
65;-1.08769303;-0.062354127;0.998054088
66;1.347006527;0.874302691;-0.485381093
67;-0.77986972;0.245901636;0.969294788
68;0.76045414;0.999131532;-0.041667505
69;-0.117548513;0.804654331;0.593743554
70;0.560602362;0.998677107;-0.051420185
71;-0.180161714;-0.00113763;0.999999353
72;0.454232083;0.972212039;-0.234102008
73;-0.922446523;0.241842896;0.97031542
74;1.433460594;0.864305563;-0.50296709
75;-0.310299226;0.742306272;0.670060743
76;-0.931744051;0.238456433;0.971153196
77;-1.190163829;0.160558553;0.987026317
78;1.31339026;0.908366472;-0.418175027
79;0.453149092;0.388219371;-0.921566992
80;0.146052483;0.996534396;0.083181718
81;-0.986072723;0.132114577;0.991234452
82;0.483577555;0.971895299;-0.235413524
83;-0.42692784;0.75280426;0.658244442
84;0.150348383;0.994940639;0.100464547
85;-1.257399267;0.071590518;0.997434107
86;0.690073355;0.917429738;-0.397897821
87;1.821651016;0.758299284;-0.651906585
88;0.133800095;0.976220518;0.216779844
89;-2.522604449;-0.285602286;0.958348232
90;1.837669585;0.891709973;-0.452607252
91;-1.255146797;-0.097883639;0.995197866
92;0.045923246;0.964206629;0.265151988
93;-1.756110538;-0.228621054;0.973515492
94;0.155168241;0.830227213;0.55742513
95;-1.038756576;0.247257199;0.968949884
96;-1.611260561;0.024007768;0.999711772
97;-0.75448623;0.255251344;0.966874734
98;0.205616807;0.934403238;0.356217053
99;-1.682216745;0.029361285;0.999568865
100;1.088457824;0.940094174;-0.340914864
